01_Presence Condition,02_Total Lines in Code,03_Line Coverage Precentage
CONFIG_SSL_CERT_VERIFICATION,1295,17.81
CONFIG_SSL_ENABLE_CLIENT,817,11.24
CONFIG_SSL_FULL_MODE,662,9.11
CONFIG_SSL_USE_PKCS12,472,6.49
CONFIG_SSL_GENERATE_X509_CERT,353,4.86
!CONFIG_SSL_SKELETON_MODE,290,3.99
CONFIG_OPENSSL_COMPATIBLE,261,3.59
CONFIG_SSL_HAS_PEM,230,3.16
CONFIG_HTTP_HAS_CGI,223,3.07
YYDEBUG,173,2.38
!WIN32 && CONFIG_SSL_CTX_MUTEXING,160,2.2
CONFIG_HTTP_HAS_CGI && !WIN32,137,1.88
CONFIG_HTTP_DIRECTORIES,130,1.79
WIN32,128,1.76
CONFIG_HTTP_HAS_AUTHORIZATION,107,1.47
CONFIG_BIGINT_MONTGOMERY,91,1.25
!WIN32,85,1.17
CONFIG_BIGINT_CRT,80,1.1
CONFIG_SSL_HAS_PEM || CONFIG_HTTP_HAS_AUTHORIZATION,72,0.99
!YY_NO_INPUT,72,0.99
CONFIG_BIGINT_SQUARE,67,0.92
CONFIG_BIGINT_BARRETT,63,0.87
CONFIG_SSL_FULL_MODE || CONFIG_DEBUG,63,0.87
!YY_STRUCT_YY_BUFFER_STATE,62,0.85
CONFIG_BIGINT_KARATSUBA,60,0.83
CONFIG_BIGINT_KARATSUBA || CONFIG_BIGINT_BARRETT || CONFIG_BIGINT_MONTGOMERY,57,0.78
CONFIG_HTTP_VERBOSE,56,0.77
YYERROR_VERBOSE,54,0.74
CONFIG_SSL_CERT_VERIFICATION || CONFIG_SSL_GENERATE_X509_CERT,49,0.67
!YYTOKENTYPE,44,0.61
(!yyoverflow && (!__cplusplus || YYSTYPE_IS_TRIVIAL)),40,0.55
!((!WIN32 && CONFIG_USE_DEV_URANDOM) || (WIN32 && CONFIG_WIN32_USE_CRYPTO_LIB)),36,0.5
!CONFIG_INTEGER_8BIT && !CONFIG_INTEGER_16BIT,33,0.45
CONFIG_BIGINT_SLIDING_WINDOW,32,0.44
HAVE_IPV6,31,0.43
!FLEXINT_H,28,0.39
CONFIG_SSL_ENABLE_CLIENT && !WIN32,25,0.34
YYDEBUG || YYERROR_VERBOSE,21,0.29
yyoverflow,21,0.29
!yyoverflow && YYSTACK_RELOCATE,20,0.28
CONFIG_BINDINGS && !CONFIG_SSL_CERT_VERIFICATION,19,0.26
CONFIG_BIGINT_CHECK_ON,19,0.26
!HAVE_IPV6,17,0.23
WIN32 && CONFIG_WIN32_USE_CRYPTO_LIB,16,0.22
CONFIG_SSL_ENABLE_CLIENT && CONFIG_SSL_FULL_MODE,15,0.21
YYERROR_VERBOSE && !yystpcpy && !(__GLIBC__ && _STRING_H && _GNU_SOURCE),15,0.21
!YY_INPUT,14,0.19
CONFIG_HTTP_ENABLE_DIFFERENT_USER,13,0.18
!YYSTYPE && !YYSTYPE_IS_DECLARED,13,0.18
YYERROR_VERBOSE && !yystrlen && !(__GLIBC__ && _STRING_H),13,0.18
CONFIG_HTTP_HAS_CGI && CONFIG_HTTP_HAS_CGI,12,0.17
YYDEBUG && !(__STDC__ || __cplusplus),12,0.17
!CONFIG_SSL_GENERATE_X509_CERT,11,0.15
CONFIG_OPENSSL_COMPATIBLE && CONFIG_SSL_ENABLE_CLIENT,11,0.15
CONFIG_HTTP_DIRECTORIES && WIN32,10,0.14
!yyoverflow || YYERROR_VERBOSE,10,0.14
YYPRINT,10,0.14
OLD_NCURSES,10,0.14
CONFIG_HTTP_DIRECTORIES && !WIN32,9,0.12
CONFIG_HTTP_VERBOSE && CONFIG_HTTP_HAS_CGI,9,0.12
YY_NEED_STRLEN,9,0.12
!yyoverflow,9,0.12
AXDEBUG,8,0.11
CONFIG_SSL_CERT_VERIFICATION && CONFIG_SSL_FULL_MODE,7,0.1
CONFIG_BINDINGS && !CONFIG_SSL_ENABLE_CLIENT,7,0.1
!yytext_ptr,7,0.1
CONFIG_BINDINGS,6,0.08
CONFIG_BIGINT_SQUARE && CONFIG_BIGINT_KARATSUBA,6,0.08
CONFIG_HTTP_HAS_CGI && !WIN32 && CONFIG_HTTP_HAS_CGI,6,0.08
!YYDEBUG,6,0.08
(YYDEBUG && __STDC__) || __cplusplus,6,0.08
!CONFIG_BIGINT_CRT,5,0.07
CONFIG_SSL_USE_DEFAULT_KEY || CONFIG_SSL_SKELETON_MODE,5,0.07
(!CONFIG_USE_DEV_URANDOM && !CONFIG_WIN32_USE_CRYPTO_LIB),5,0.07
CONFIG_HTTP_ENABLE_DIFFERENT_USER && CONFIG_HTTP_VERBOSE,5,0.07
CONFIG_HTTP_HAS_DIRECTORIES,5,0.07
!NOMMU,5,0.07
!YY_DECL,5,0.07
!(__STDC__ || __cplusplus),5,0.07
!YYLLOC_DEFAULT,5,0.07
CONFIG_SSL_SKELETON_MODE,4,0.06
!CONFIG_BIGINT_SLIDING_WINDOW,4,0.06
CONFIG_OPENSSL_COMPATIBLE && !CONFIG_SSL_SKELETON_MODE,4,0.06
!WIN32 && CONFIG_USE_DEV_URANDOM,4,0.06
WIN32 || CONFIG_WIN32_USE_CRYPTO_LIB,4,0.06
WIN32 && !_WIN32_WCE,4,0.06
!WIN32 && CONFIG_HTTP_IS_DAEMON,4,0.06
__cplusplus,4,0.06
!ECHO,4,0.06
!YYPARSE_PARAM && !(__STDC__ || __cplusplus),4,0.06
!CONFIG_SSL_ENABLE_CLIENT,3,0.04
!CONFIG_SSL_CERT_VERIFICATION,3,0.04
!CONFIG_SSL_SKELETON_MODE && !CONFIG_SSL_HAS_PEM,3,0.04
(!CONFIG_SSL_GENERATE_X509_CERT && CONFIG_SSL_USE_DEFAULT_KEY) || CONFIG_SSL_SKELETON_MODE,3,0.04
CONFIG_SSL_USE_PKCS12 && CONFIG_SSL_FULL_MODE,3,0.04
CONFIG_WIN32_USE_CRYPTO_LIB,3,0.04
!__cplusplus,3,0.04
!__cplusplus && __STDC__,3,0.04
!YY_NO_INPUT && __cplusplus,3,0.04
!YY_NO_INPUT && !__cplusplus,3,0.04
!yyoverflow || (YYERROR_VERBOSE && !YYSTACK_ALLOC),3,0.04
__STDC__ || __cplusplus,3,0.04
YYPARSE_PARAM && !(__STDC__ || __cplusplus),3,0.04
(!YYPARSE_PARAM && __STDC__) || __cplusplus,3,0.04
WIN32 && !CONFIG_SSL_FULL_MODE,2,0.03
CONFIG_ENABLE_VERIFICATION,2,0.03
CONFIG_SSL_HAS_PEM && CONFIG_SSL_FULL_MODE,2,0.03
CONFIG_BIGINT_CRT && CONFIG_BIGINT_MONTGOMERY,2,0.03
WIN32 && _WIN32_WCE,2,0.03
!AXDEBUG,2,0.03
CONFIG_HTTP_HAS_CGI && CONFIG_HTTP_VERBOSE,2,0.03
!YY_TYPEDEF_YY_BUFFER_STATE,2,0.03
!YY_TYPEDEF_YY_SIZE_T,2,0.03
YY_DECL_IS_OURS,2,0.03
!yyoverflow || (YYERROR_VERBOSE && !YYSTACK_ALLOC && __STDC__) || __cplusplus,2,0.03
(!YYSIZE_T && __STDC__) || __cplusplus,2,0.03
YYDEBUG && !YYFPRINTF,2,0.03
YYERROR_VERBOSE && !yystpcpy && !(__GLIBC__ && _STRING_H && _GNU_SOURCE) && !(__STDC__ || __cplusplus),2,0.03
(YYPARSE_PARAM && __STDC__) || __cplusplus,2,0.03
!OLD_NCURSES,2,0.03
!STDIN_FILENO,1,0.01
!CONFIG_PLATFORM_SOLARIS,1,0.01
CONFIG_SSL_PROT_LOW,1,0.01
CONFIG_SSL_PROT_MEDIUM,1,0.01
!(CONFIG_SSL_PROT_LOW || CONFIG_SSL_PROT_MEDIUM),1,0.01
CONFIG_SSL_SERVER_ONLY,1,0.01
!(CONFIG_SSL_FULL_MODE || CONFIG_SSL_ENABLE_CLIENT || CONFIG_ENABLE_VERIFICATION || CONFIG_SSL_SERVER_ONLY),1,0.01
!CONFIG_SSL_FULL_MODE,1,0.01
!CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_HAS_PEM,1,0.01
!CONFIG_SSL_SKELETON_MODE && !CONFIG_SSL_HAS_PEM && CONFIG_SSL_FULL_MODE,1,0.01
CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_FULL_MODE,1,0.01
!CONFIG_BIGINT_CHECK_ON,1,0.01
!CONFIG_BIGINT_KARATSUBA,1,0.01
CONFIG_BIGINT_SQUARE && !CONFIG_BIGINT_KARATSUBA,1,0.01
!CONFIG_BIGINT_MONTGOMERY,1,0.01
!CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_FULL_MODE,1,0.01
(CONFIG_SSL_HAS_PEM || CONFIG_HTTP_HAS_AUTHORIZATION) && CONFIG_SSL_FULL_MODE,1,0.01
CONFIG_SSL_HAS_PEM || (CONFIG_HTTP_HAS_AUTHORIZATION && CONFIG_SSL_FULL_MODE),1,0.01
!CONFIG_HTTP_HAS_CGI,1,0.01
CONFIG_HTTP_HAS_AUTHORIZATION && CONFIG_HTTP_VERBOSE,1,0.01
!CONFIG_HTTP_DIRECTORIES,1,0.01
WIN32 || CONFIG_PLATFORM_CYGWIN,1,0.01
CONFIG_HTTP_HAS_CGI && WIN32,1,0.01
(CONFIG_HTTP_HAS_CGI && !WIN32) && CONFIG_HTTP_HAS_AUTHORIZATION,1,0.01
CONFIG_HTTP_HAS_CGI && !WIN32 && CONFIG_HTTP_HAS_AUTHORIZATION,1,0.01
(CONFIG_HTTP_HAS_CGI && !WIN32) && CONFIG_HTTP_HAS_CGI,1,0.01
!WIN32 && CONFIG_HTTP_HAS_CGI,1,0.01
!WIN32 && CONFIG_HTTP_VERBOSE,1,0.01
CONFIG_HTTP_HAS_DIRECTORIES && WIN32,1,0.01
CONFIG_HTTP_HAS_DIRECTORIES && !WIN32,1,0.01
!FLEXINT_H && !INT8_MIN,1,0.01
!FLEXINT_H && !INT16_MIN,1,0.01
!FLEXINT_H && !INT32_MIN,1,0.01
!FLEXINT_H && !INT8_MAX,1,0.01
!FLEXINT_H && !INT16_MAX,1,0.01
!FLEXINT_H && !INT32_MAX,1,0.01
!FLEXINT_H && !UINT8_MAX,1,0.01
!FLEXINT_H && !UINT16_MAX,1,0.01
!FLEXINT_H && !UINT32_MAX,1,0.01
YY_USE_CONST,1,0.01
!YY_USE_CONST,1,0.01
!YY_BUF_SIZE,1,0.01
!YY_EXTRA_TYPE,1,0.01
!YY_SKIP_YYWRAP && __cplusplus,1,0.01
!YY_SKIP_YYWRAP && !__cplusplus,1,0.01
!YY_READ_BUF_SIZE,1,0.01
!yyterminate,1,0.01
!YY_START_STACK_INCR,1,0.01
!YY_FATAL_ERROR,1,0.01
!YY_USER_ACTION,1,0.01
!YY_BREAK,1,0.01
YY_USER_INIT,1,0.01
!YY_EXIT_FAILURE,1,0.01
!YYERROR_VERBOSE,1,0.01
(!yyoverflow || YYERROR_VERBOSE) && YYSTACK_USE_ALLOCA,1,0.01
!yyoverflow || (YYERROR_VERBOSE && !YYSTACK_USE_ALLOCA && !YYSTACK_USE_ALLOCA && alloca) || (_ALLOCA_H && __GNUC__),1,0.01
!yyoverflow || (YYERROR_VERBOSE && !YYSTACK_USE_ALLOCA && !YYSTACK_USE_ALLOCA && !(alloca || (_ALLOCA_H && __GNUC__)) && __GNUC__),1,0.01
(!yyoverflow || YYERROR_VERBOSE) && YYSTACK_ALLOC,1,0.01
!yyoverflow || (YYERROR_VERBOSE && YYSTACK_ALLOC),1,0.01
(!yyoverflow || YYERROR_VERBOSE) && !YYSTACK_ALLOC,1,0.01
!YYSIZE_T && __SIZE_TYPE__,1,0.01
!YYSIZE_T && size_t,1,0.01
!YYSIZE_T,1,0.01
YYLEX_PARAM,1,0.01
!YYLEX_PARAM,1,0.01
!YYINITDEPTH,1,0.01
!YYMAXDEPTH,1,0.01
YYERROR_VERBOSE && !yystrlen && __GLIBC__ && _STRING_H,1,0.01
((YYERROR_VERBOSE && !yystrlen && !(__GLIBC__ && _STRING_H)) && __STDC__) || __cplusplus,1,0.01
(YYERROR_VERBOSE && !yystrlen && !(__GLIBC__ && _STRING_H)) && !(__STDC__ || __cplusplus),1,0.01
YYERROR_VERBOSE && !yystrlen && !(__GLIBC__ && _STRING_H) && !(__STDC__ || __cplusplus),1,0.01
YYERROR_VERBOSE && !yystpcpy && __GLIBC__ && _STRING_H && _GNU_SOURCE,1,0.01
((YYERROR_VERBOSE && !yystpcpy && !(__GLIBC__ && _STRING_H && _GNU_SOURCE)) && __STDC__) || __cplusplus,1,0.01
(YYERROR_VERBOSE && !yystpcpy && !(__GLIBC__ && _STRING_H && _GNU_SOURCE)) && !(__STDC__ || __cplusplus),1,0.01
YYDEBUG && YYPRINT,1,0.01
!yyoverflow && !YYSTACK_RELOCATE,1,0.01
